(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
79,Jute,S M R,"3,375",-,"3,350",-,-,-,-,-,"4,350","4,363","4,050","4,050",
,,,,,,,,,,,,,,,"3,923"
,,,,,,,,,,,,,,,
80,",,",Gorsat,"3,661","3,778","3,719","3,845","3,846","3,856","3,906","4,199","4,303","4,280","4,281","4,324",
,,,,,,,,,,,,,,,"4,000"
,,,,,,,,,,,,,,,
81,",,",Mesta Gorsat,"3,630","3,696","3,700","3,392","3,138","3,138","3,138","4,113","3,875","3,778","4,375","4,375",
,,,,,,,,,,,,,,,"3,695"
,,,,,,,,,,,,,,,
82,Cotton,Shimul,"34,823","34,705","34,568","34,028","34,173","34,095","33,968","33,459","33,414","38,650","33,795","33,977",
,,,,,,,,,,,,,,,"34,471"
,,,,,,,,,,,,,,,
83,",,",Carpash,"16,292","16,167","16,025","15,604","15,492","15,425","15,325","13,558","13,125","13,358","13,725","13,825",
,,,,,,,,,,,,,,,"14,827"
,,,,,,,,,,,,,,,
84,Tobacco,Jati Super,"11,800","11,550","11,550","9,975","8,720","10,540","10,540","10,540","10,600","10,600","10,600","10,600",
,,,,,,,,,,,,,,,"10,635"
,,,,,,,,,,,,,,,
85,",,",",, Medium","9,760","9,513","9,510","8,067","6,850","8,500","8,500","8,500","8,500","8,500","8,500","8,500",
,,,,,,,,,,,,,,,"8,600"
,,,,,,,,,,,,,,,
86,",,",",, General","8,250","8,050","8,050","6,767","5,400","6,600","6,600","6,600","6,600","6,600","6,600","6,600",
,,,,,,,,,,,,,,,"6,893"
,,,,,,,,,,,,,,,
87,",,",Matihari Super,"13,834","13,718","13,753","13,302","13,735","14,522","14,556","14,441","14,431","14,482","14,601","14,591",
,,,,,,,,,,,,,,,"14,164"
,,,,,,,,,,,,,,,
88,",,",",,
Medium","10,515","10,456","10,408","9,766","9,825","10,370","10,366","10,728","10,713","10,713","10,699","10,707",
,,,,,,,,,,,,,,,"10,439"
,,,,,,,,,,,,,,,
89,",,",",,
General","7,357","7,308","7,377","7,013","6,775","7,350","7,350","7,346","7,330","7,322","7,638","7,632",
,,,,,,,,,,,,,,,"7,316"
,,,,,,,,,,,,,,,
90,"Wetsalf-mix
Cow",Calf,"52,238","51,853","52,391","53,205","54,181","54,848","51,311","45,096","40,397","40,357","40,446","40,333",
,,,,,,,,,,,,,,,"48,055"
,,,,,,,,,,,,,,,
91,",,",Calf Medium,"91,803","90,229","94,544","87,484","87,608","89,288","85,598","77,545","65,724","65,895","63,963","63,813",
,,,,,,,,,,,,,,,"80,291"
,,,,,,,,,,,,,,,
92,"Wetsalf-mix
Cow",Heavy,"112,872","112,159","110,286","114,938","115,249","116,098","111,919","101,527","91,035","90,761","88,616","88,209",
,,,,,,,,,,,,,,,"104,472"
,,,,,,,,,,,,,,,
93,",,",Katasera,"21,163","16,885","17,511","25,057","24,179","26,350","26,350","20,221","16,833","16,833","17,286","17,286",
,,,,,,,,,,,,,,,"20,496"
,,,,,,,,,,,,,,,
94,Buffalo,Heavy,"76,241","78,194","76,981","71,042","71,117","73,833","66,188","61,536","58,143","66,714","66,714","66,714",
,,,,,,,,,,,,,,,"69,451"
,,,,,,,,,,,,,,,
