(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Averag
,,,,,,,,,,,,,,,e
95,",,",Medium,"52,714","54,524","52,179","5,292","58,677","60,396","58,000","55,500","51,375","52,156","52,156","52,156","50,427"
,,,,,,,,,,,,,,,
96,",,",Katasera,-,-,-,"1,088",-,-,-,-,-,-,-,-,"1,088"
,,,,,,,,,,,,,,,
97,Leather,Sheep,"6,190","6,567","6,590","3,604","7,054","6,631","6,776","5,229","4,652","4,506","4,602","4,682","5,590"
,,,,,,,,,,,,,,,
98,",,",Goat,"6,886","8,194","8,199","7,042","8,655","8,553","8,600","7,061","6,470","6,546","6,460","6,338","7,417"
,,,,,,,,,,,,,,,
99,Fertilizer,Urea,786,786,786,787,787,787,787,787,786,786,786,786,786
,,,,,,,,,,,,,,,
100,",,",T S P,"1,088","1,088","1,088","1,088","1,089","1,089","1,089","1,089","1,089","1,089","1,090","1,090","1,089"
,,,,,,,,,,,,,,,
101,",,",D A P,"1,244","1,244","1,244","1,244","1,245","1,244","1,244","1,242","1,243","1,242","1,242","1,237","1,243"
,,,,,,,,,,,,,,,
102,",,",M P,734,734,734,734,735,735,735,735,732,732,732,732,734
,,,,,,,,,,,,,,,
103,",,",Zinc Local,"2,538","2,538","2,588","3,025","3,025","3,088","3,106","3,163","3,144","3,125","3,106","3,106","2,963"
,,,,,,,,,,,,,,,
104,",,",Zinc Import,"3,374","3,413","3,555","3,604","3,601","3,612","3,612","3,600","3,618","3,618","3,618","3,618","3,570"
,,,,,,,,,,,,,,,
105,",,",Gypsum,"1,173","1,145","1,246",161,"3,601","3,612","3,612","3,600","3,618","3,618","3,618","3,618","2,718"
,,,,,,,,,,,,,,,
106,Organic Fertilizer,162,163,162,118,160,159,159,159,159,159,159,159,157,"1,617"
,,,,,,,,,,,,,,,
107,Milk Powder,Bag,119,118,119,"56,125",119,119,119,119,120,120,120,120,"4,786"
,,,,,,,,,,,,,,,
108,Cow Milk,Organic Fertilizer,"56,500","56,500","56,500","5,091","55,600","55,000","55,000","55,000","55,000","55,000","55,000","55,000","51,266"
,,,,,,,,,,,,,,,
109,",,",MilkVita,"5,138","7,190","7,185",-,"5,154","5,242","5,162","5,172","5,115","5,128","5,135","5,122","5,522"
,,,,,,,,,,,,,,,
110,Ghee (Local),,"70,860","71,800","70,860","72,967","75,575","76,075","76,325","76,200","76,100","76,100","77,600","78,267","74,894"
,,,,,,,,,,,,,,,
111,Dano,,"6,489","7,639","7,639","6,543","6,550","6,543","6,561","6,565","6,569","6,569","6,569","6,569","6,734"
,,,,,,,,,,,,,,,
112,Redcow,,"6,878","6,869","6,878","6,869","6,878","6,878","6,878","6,863","6,875","6,875","6,875","6,875","6,874"
,,,,,,,,,,,,,,,
