(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
145,",,",Shrimp Bagda,"58,113","64,219","65,125","63,500","69,814","69,268","69,393","69,000","65,469","60,025","59,153","60,250",
,,,,,,,,,,,,,,,"64,444"
,,,,,,,,,,,,,,,
146,",,",",, Golda","48,925","48,344","47,438","48,313","50,522","52,092","52,917","51,500","53,343","54,444","55,530","55,688",
,,,,,,,,,,,,,,,"51,588"
,,,,,,,,,,,,,,,
147,",,",",, small","31,683","31,942","30,677","32,000","33,300","35,597","36,472","35,569","35,038","33,400","33,500","35,408",
,,,,,,,,,,,,,,,"33,716"
,,,,,,,,,,,,,,,
148,",,",Koi,"14,355","14,695","14,917","15,144","17,515","16,389","15,650","15,956","14,821","16,678","18,353","19,158",
,,,,,,,,,,,,,,,"16,136"
,,,,,,,,,,,,,,,
149,",,",Magur,"53,100","54,375","55,150","55,636","58,523","58,950","57,576","57,125","56,875","55,867","51,846","55,102",
,,,,,,,,,,,,,,,"55,844"
,,,,,,,,,,,,,,,
150,",,",Shingh,"41,446","42,598","45,077","45,413","44,696","44,450","43,067","42,813","43,321","43,098","42,182","42,436",
,,,,,,,,,,,,,,,"43,383"
,,,,,,,,,,,,,,,
151,",,",Silver Curp,"11,274","11,341","11,292","11,367","11,721","11,970","12,158","12,257","12,284","12,352","12,025","12,098",
,,,,,,,,,,,,,,,"11,845"
,,,,,,,,,,,,,,,
152,",,",Glass Curp,"13,833","13,520","13,370","13,601","13,819","14,116","14,426","14,660","14,509","14,340","13,914","13,886",
,,,,,,,,,,,,,,,"13,999"
,,,,,,,,,,,,,,,
153,",,",Telapia,"11,063","11,048","11,011","11,088","11,431","11,539","11,664","11,710","11,708","11,649","11,467","11,358",
,,,,,,,,,,,,,,,"11,395"
,,,,,,,,,,,,,,,
154,",,",Rupchanda,"49,167","66,875","46,667","52,500","52,500","52,500","54,167","62,500","62,500","55,833","56,944","58,750",
,,,,,,,,,,,,,,,"55,909"
,,,,,,,,,,,,,,,
155,Dry Fish,Rupchanda,"86,750","95,900","67,900","84,667","86,719","100,833","125,833","158,333","165,000","165,083","165,000","133,750",
,,,,,,,,,,,,,,,"119,647"
,,,,,,,,,,,,,,,
156,",,",Loita,"39,875","39,731","40,415","40,742","41,412","42,034","42,316","43,136","43,775","43,296","43,405","43,500",
,,,,,,,,,,,,,,,"41,970"
,,,,,,,,,,,,,,,
157,",,",Puti,"41,560","43,250","31,729","31,800","31,611","34,438","32,600","35,200","36,000","37,000","35,133","32,700",
,,,,,,,,,,,,,,,"35,252"
,,,,,,,,,,,,,,,
158,",,",Shrimp,"55,217","67,422","66,120","67,656","67,763","69,266","68,844","73,663","67,594","74,643","69,279","70,222",
,,,,,,,,,,,,,,,"68,141"
,,,,,,,,,,,,,,,
159,",,",Glasses,"40,075","39,563","37,104","35,958","38,120","41,521","42,208","41,527","42,044","46,048","44,294","44,350",
,,,,,,,,,,,,,,,"41,068"
,,,,,,,,,,,,,,,
160,",,",Solted Hilsa,"43,750","43,750","43,750","40,500","39,480","49,563","53,800","47,893","42,350","45,375","42,750","42,167",
,,,,,,,,,,,,,,,"44,594"
,,,,,,,,,,,,,,,
