Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
42,",,",Mashur local gota,10293,10288,10535,10778,10091,10083,10099,10077,11862,10268,10245,10225,10404
43,",,",Mashur broken,7389,7393,7484,8076,8889,8041,8089,7632,7550,7353,7371,7406,7723
44,",,",Mashur foreign,8772,8754,8677,8466,8376,8368,8442,8558,11900,9121,9151,9166,8979
45,",,",Mug local,12293,12288,12309,12222,12198,12200,12197,11993,13639,12087,12049,11894,12281
46,",,",Chola gota,7488,7480,7421,7490,7361,7296,7335,7201,12483,7220,7099,7114,7749
47,",,",Chola broken,7631,7632,7569,7420,7352,7304,7326,7208,7917,7223,7252,7302,7428
48,",,",Motor local,7871,7873,7646,7863,7870,7806,7802,7332,8011,7406,7076,6992,7629
49,",,",Motor foreign,3671,3674,3712,3831,3833,3855,3830,3798,4658,4073,4098,4903,3993
50,",,",kheshari,6616,6634,6675,6630,6591,6551,6546,6548,6633,6079,6047,6067,6468
51,Oil seed,Mustard,5860,5860,6256,6045,6069,6430,6369,6869,7423,6993,7045,6901,6510
52,",,",Tishi,7067,7092,7092,7092,7092,7092,7179,7252,7873,8208,8208,8277,7460
53,",,",Til,6688,6675,6687,6670,6670,6670,6745,6678,5368,5394,5477,5651,6281
54,",,",Nut,10141,10079,9929,10083,10114,9996,8500,9900,12696,9689,9761,8381,9939
55,Oil,Mustard,13753,13795,13993,14607,14717,14985,14811,15270,15336,15960,16059,16562,14987
56,",,",Soyabeen,10807,10767,11066,11996,12004,12412,10725,11920,12482,12704,12849,13425,11930
57,",,",Pulm,9417,9366,9615,10000,10166,10573,10338,10932,11831,11702,11882,12383,10684
58,“,Ghee (dalda),11221,11268,11101,12267,12511,12817,12618,13361,14332,11850,11926,12142,12284
59,",,",Butter oil,60000,60000,50300,60000,60000,48020,46675,46675,39800,41450,41425,48440,50232
60,",,",Coconut,24082,24056,24672,23445,23550,24019,23829,25693,25793,25822,26007,26743,24809
61,khail,Mustard,3513,3513,3547,3536,3535,3553,3546,3656,3603,3643,3819,3831,3608
62,",,",Til,3784,3834,3839,3840,3840,3816,3828,3953,3996,4000,4020,4034,3899
63,",,",Others,3571,3583,3594,3613,3625,3643,3625,3625,3468,2417,2417,2400,3298
64,Spice,Onion local,3184,2430,2989,2982,3059,3459,3597,3852,3970,5039,4847,4549,3663
65,",,",Onion imported,2495,2027,2466,2916,2788,3409,3422,3457,4025,4540,4468,4197,3351
66,",,",Garlic local,9149,8514,6333,6157,6080,6033,6049,5758,6867,6153,6038,4809,
67,",,",Garlic imported,9534,10272,101818,10156,10062,12030,10264,10203,11636,11581,11896,11434,10621
68,,Chilli dried,21223,20987,20539,20039,19889,19716,19668,18972,20302,18067,18015,17661,19587
69,",,",Green chilli,6362,4585,3015,2954,2839,2937,3228,6806,8721,10333,6112,4627,5210
70,",,",Ginger local,7241,6693,6608,7059,6996,7285,7703,8698,9301,9418,9140,7474,7801
71,",,",Ginger imported,7181,6336,6272,6400,6447,6874,6986,8070,10357,8759,8574,7962,7518
72,",,",Turmeric round,12720,12623,12695,12498,12800,12659,12439,12754,12384,12610,12633,12525,12612
73,",,",Turmeric long,12787,12365,12510,12768,12611,12778,12722,12801,14905,13025,13008,13025,12942
74,",,",Coriander old,9290,9307,9362,9252,9254,9259,9250,9297,10436,9135,9167,9373,9365
75,",,",Coriander new,8119,8438,8260,8581,8540,8645,8557,8856,7935,7518,7518,7394,8197
76,Jute,White,3650,3225,2825,4931,3383,3033,2800,3033,3033,3033,3033,3650,3303
77,",,",Tosha,13720,16790,17938,13700,12920,13000,-,14520,17000,12920,13780,14589,14625
78,",,",Mesta gor chhat,5845,4000,4000,4088,4800,4800,4300,4800,4800,5515,5398,5845,4849
79,Cotton,Shimul,30498,33486,33486,30489,31480,32219,35964,31706,30661,30847,30573,30498,31826
80,",,",carpus,15563,14150,14150,14150,14150,17417,17417,17083,15563,15563,15563,15563,15527
81,Tobbaco,Jati heavy,12567,10600,10600,10600,10600,10600,10500,16500,16500,12567,12567,12567,12231
82,",,",Jati Medium,8500,8500,6600,8500,8500,8500,8500,12750,12750,12750,12750,12750,10271
83,",,",Jati general,6600,6600,14497,6600,6600,6600,6600,10550,10550,10550,10550,10500,8242
84,",,",Motihar heavy,12527,14497,10803,14499,13293,14728,12888,13125,13125,12369,13131,11971,13387
85,",,",Motihar medium,11978,10803,7617,10800,11820,10825,10625,10014,10800,10014,10014,11234,10811
