Name of Commodity,Variation,Year,Month,Rainfall,Temperature,Humidity,Pesticide,Price
0,0,0,0,34,24,81,4333,"1,994"
0,1,0,0,34,24,81,4333,"1,753"
0,2,0,0,34,24,81,4333,"1,588"
0,3,0,0,34,24,81,4333,"2,236"
0,4,0,0,34,24,81,4333,"3,988"
1,5,0,0,34,24,81,4333,-
1,6,0,0,34,24,81,4333,-
1,7,0,0,34,24,81,4333,-
2,8,0,0,34,24,81,4333,"2,342"
2,5,0,0,34,24,81,4333,"1,940"
2,6,0,0,34,24,81,4333,"1,648"
2,7,0,0,34,24,81,4333,-
3,8,0,0,34,24,81,4333,"4,792"
3,5,0,0,34,24,81,4333,"3,298"
3,6,0,0,34,24,81,4333,"2,697"
3,7,0,0,34,24,81,4333,"4,551"
4,1,0,0,34,24,81,4333,-
4,6,0,0,34,24,81,4333,"2,661"
4,3,0,0,34,24,81,4333,-
5,8,0,0,34,24,81,4333,"4,557"
5,5,0,0,34,24,81,4333,"3,474"
5,6,0,0,34,24,81,4333,"2,663"
5,7,0,0,34,24,81,4333,"4,580"
6,9,0,0,34,24,81,4333,"2,764"
7,10,0,0,34,24,81,4333,"8,873"
7,11,0,0,34,24,81,4333,"8,337"
7,12,0,0,34,24,81,4333,"6,337"
8,13,0,0,34,24,81,4333,"2,486"
8,14,0,0,34,24,81,4333,"2,576"
9,13,0,0,34,24,81,4333,"2,750"
9,14,0,0,34,24,81,4333,"2,603"
10,15,0,0,34,24,81,4333,"2,505"
10,16,0,0,34,24,81,4333,"3,010"
11,15,0,0,34,24,81,4333,"3,253"
11,17,0,0,34,24,81,4333,"4,092"
12,18,0,0,34,24,81,4333,"1,989"
13,19,0,0,34,24,81,4333,7020
13,20,0,0,34,24,81,4333,6572
13,21,0,0,34,24,81,4333,8447
13,22,0,0,34,24,81,4333,6706
13,23,0,0,34,24,81,4333,January
13,24,0,0,34,24,81,4333,3436
13,25,0,0,34,24,81,4333,3436
13,26,0,0,34,24,81,4333,4492
14,27,0,0,34,24,81,4333,9169
14,28,0,0,34,24,81,4333,9120
14,29,0,0,34,24,81,4333,9950
14,30,0,0,34,24,81,4333,7044
14,31,0,0,34,24,81,4333,8670
14,32,0,0,34,24,81,4333,12227
14,33,0,0,34,24,81,4333,7524
14,34,0,0,34,24,81,4333,7335
14,24,0,0,34,24,81,4333,5449
14,25,0,0,34,24,81,4333,3530
14,26,0,0,34,24,81,4333,6301
15,35,0,0,34,24,81,4333,4973
