Name of Commodity,Variation,Year,Month,Rainfall,Temperature,Humidity,Pesticide,Price
0,0,0,0,27,27,83,4333,"1,994"
0,1,0,0,45,25,76,4333,"1,753"
0,2,0,0,82,24,75,4333,"1,588"
0,3,0,0,56,24,86,4333,"2,236"
0,4,0,0,13,27,87,4333,"3,988"
1,5,0,0,45,26,83,4333,-
1,6,0,0,36,27,78,4333,-
1,7,0,0,14,24,84,4333,-
2,8,0,0,21,23,85,4333,"2,342"
2,5,0,0,70,25,75,4333,"1,940"
2,6,0,0,10,23,76,4333,"1,648"
2,7,0,0,19,27,79,4333,-
3,8,0,0,15,24,84,4333,"4,792"
3,5,0,0,46,25,77,4333,"3,298"
3,6,0,0,13,27,70,4333,"2,697"
3,7,0,0,47,24,71,4333,"4,551"
4,1,0,0,64,24,86,4333,-
4,6,0,0,40,27,83,4333,"2,661"
4,3,0,0,14,26,70,4333,-
5,8,0,0,60,25,78,4333,"4,557"
5,5,0,0,40,24,86,4333,"3,474"
5,6,0,0,28,23,72,4333,"2,663"
5,7,0,0,82,25,87,4333,"4,580"
6,9,0,0,53,24,83,4333,"2,764"
7,10,0,0,24,25,84,4333,"8,873"
7,11,0,0,59,24,77,4333,"8,337"
7,12,0,0,9,23,72,4333,"6,337"
8,13,0,0,8,23,70,4333,"2,486"
8,14,0,0,70,27,78,4333,"2,576"
9,13,0,0,7,26,79,4333,"2,750"
9,14,0,0,48,24,86,4333,"2,603"
10,15,0,0,39,24,70,4333,"2,505"
10,16,0,0,17,26,82,4333,"3,010"
11,15,0,0,39,26,81,4333,"3,253"
11,17,0,0,76,24,83,4333,"4,092"
12,18,0,0,50,27,86,4333,"1,989"
13,19,0,0,21,24,78,4333,7020
13,20,0,0,7,26,85,4333,6572
13,21,0,0,64,26,72,4333,8447
13,22,0,0,33,25,86,4333,6706
13,23,0,0,25,27,76,4333,January
13,24,0,0,50,25,76,4333,3436
13,25,0,0,27,26,81,4333,3436
13,26,0,0,67,25,79,4333,4492
14,27,0,0,21,27,87,4333,9169
14,28,0,0,70,26,77,4333,9120
14,29,0,0,23,27,85,4333,9950
14,30,0,0,72,25,76,4333,7044
14,31,0,0,32,24,79,4333,8670
14,32,0,0,21,23,71,4333,12227
14,33,0,0,35,25,77,4333,7524
14,34,0,0,69,24,82,4333,7335
14,24,0,0,80,23,72,4333,5449
14,25,0,0,80,25,86,4333,3530
14,26,0,0,7,26,82,4333,6301
15,35,0,0,8,26,74,4333,4973
15,36,0,0,75,24,87,4333,6120
15,37,0,0,10,23,84,4333,6080
15,38,0,0,68,23,74,4333,9453
16,35,0,0,76,27,71,4333,12853
16,39,0,0,46,24,75,4333,8681
16,40,0,0,36,27,75,4333,7398
16,41,0,0,79,27,85,4333,8298
16,42,0,0,80,27,85,4333,64000
16,43,0,0,22,25,70,4333,22884
17,35,0,0,55,24,83,4333,3341
17,37,0,0,63,24,77,4333,3446
17,44,0,0,27,25,74,4333,3503
18,45,0,0,61,23,73,4333,10642
18,46,0,0,23,24,71,4333,8593
18,47,0,0,59,27,85,4333,15391
18,48,0,0,27,26,80,4333,13735
18,49,0,0,75,24,71,4333,21923
18,50,0,0,32,26,85,4333,4041
18,51,0,0,32,24,82,4333,11853
18,52,0,0,56,27,70,4333,11825
18,53,0,0,17,24,82,4333,13333
18,54,0,0,64,26,86,4333,12811
18,55,0,0,27,23,72,4333,9814
18,56,0,0,58,27,83,4333,10000
19,57,0,0,44,24,85,4333,"2,825"
19,58,0,0,35,26,87,4333,"4,438"
19,59,0,0,58,25,76,4333,-
19,60,0,0,33,24,79,4333,-
19,61,0,0,58,23,84,4333,-
19,23,0,0,14,23,75,4333,January
19,62,0,0,36,24,87,4333,-
19,63,0,0,12,27,79,4333,-
19,64,0,0,76,26,71,4333,"4,163"
20,65,0,0,37,26,74,4333,"33,842"
20,66,0,0,9,27,72,4333,"14,150"
21,67,0,0,75,23,75,4333,"10,600"
21,68,0,0,64,26,70,4333,"8,500"
21,69,0,0,38,24,70,4333,"6,600"
21,70,0,0,70,26,73,4333,"14,410"
21,71,0,0,61,24,83,4333,"10,756"
21,72,0,0,62,25,87,4333,"7,617"
21,73,0,0,77,25,83,4333,-
21,74,0,0,76,26,76,4333,-
21,23,0,0,32,23,75,4333,
21,75,0,0,15,23,85,4333,-
21,76,0,0,59,24,73,4333,-
21,77,0,0,78,27,71,4333,-
21,78,0,0,38,25,83,4333,-
21,79,0,0,56,25,80,4333,-
21,80,0,0,11,24,87,4333,-
21,81,0,0,61,24,76,4333,-
21,82,0,0,5,23,77,4333,-
21,83,0,0,7,26,78,4333,-
21,84,0,0,16,23,81,4333,-
21,85,0,0,76,24,83,4333,-
22,86,0,0,72,23,84,4333,"24,131"
22,23,0,0,61,26,76,4333,
22,23,0,0,46,23,73,4333,
22,1,0,0,15,27,70,4333,"37,547"
22,87,0,0,13,24,74,4333,"57,441"
22,88,0,0,75,24,79,4333,"12,305"
23,87,0,0,60,24,76,4333,"50,800"
23,23,0,0,32,27,72,4333,
23,23,0,0,40,26,81,4333,
23,5,0,0,68,25,80,4333,"39,125"
23,88,0,0,11,27,74,4333,-
24,89,0,0,63,24,87,4333,"3,639"
24,90,0,0,47,23,86,4333,"6,310"
25,91,0,0,12,23,85,4333,787
25,23,0,0,70,23,82,4333,
25,23,0,0,19,25,82,4333,
25,92,0,0,19,23,84,4333,"1,092"
25,93,0,0,78,26,83,4333,788
25,94,0,0,58,25,70,4333,733
25,95,0,0,11,27,70,4333,"3,120"
25,96,0,0,71,24,77,4333,"3,937"
25,97,0,0,14,23,77,4333,169
26,98,0,0,69,25,79,4333,117
26,23,0,0,23,23,71,4333,January
27,23,0,0,63,26,81,4333,
28,99,0,0,12,25,77,4333,"55,000"
29,100,0,0,69,24,83,4333,"5,207"
29,101,0,0,40,27,73,4333,-
30,18,0,0,14,27,77,4333,"80,720"
