Name of Commodity,Variation,Year,Month,Rainfall,Temperature,Humidity,Pesticide,Price
Paddy Aman,Fine,2020,January,34,24,81,562,"1,994"
Paddy Aman,Medium,2020,January,34,24,81,562,"1,753"
Paddy Aman,Coarse,2020,January,34,24,81,562,"1,588"
Paddy Aman,Pajam,2020,January,34,24,81,562,"2,236"
Paddy Aman,shugandhi,2020,January,34,24,81,562,"3,988"
Paddy Aus,medium,2020,January,34,24,81,562,-
Paddy Aus,coarse,2020,January,34,24,81,562,-
Paddy Aus,pajam,2020,January,34,24,81,562,-
Paddy Boro,fine,2020,January,34,24,81,562,"2,342"
Paddy Boro,medium,2020,January,34,24,81,562,"1,940"
Paddy Boro,coarse,2020,January,34,24,81,562,"1,648"
Paddy Boro,pajam,2020,January,34,24,81,562,-
Rice Aman,fine,2020,January,34,24,81,562,"4,792"
Rice Aman,medium,2020,January,34,24,81,562,"3,298"
Rice Aman,coarse,2020,January,34,24,81,562,"2,697"
Rice Aman,pajam,2020,January,34,24,81,562,"4,551"
Rice Aus,Medium,2020,January,34,24,81,562,-
Rice Aus,coarse,2020,January,34,24,81,562,"2,661"
Rice Aus,Pajam,2020,January,34,24,81,562,-
Rice boro,fine,2020,January,34,24,81,562,"4,557"
Rice boro,medium,2020,January,34,24,81,562,"3,474"
Rice boro,coarse,2020,January,34,24,81,562,"2,663"
Rice boro,pajam,2020,January,34,24,81,562,"4,580"
Rice OMS,course,2020,January,34,24,81,562,"2,764"
Aromatic rice,Chinigura,2020,January,34,24,81,562,"8,873"
Aromatic rice,Kalojira,2020,January,34,24,81,562,"8,337"
Aromatic rice,kataribhog,2020,January,34,24,81,562,"6,337"
Wheat local,red,2020,January,34,24,81,562,"2,486"
Wheat local,white,2020,January,34,24,81,562,"2,576"
Imported,red,2020,January,34,24,81,562,"2,750"
Imported,white,2020,January,34,24,81,562,"2,603"
Ata,loose,2020,January,34,24,81,562,"2,505"
Ata,Packet,2020,January,34,24,81,562,"3,010"
flour,loose,2020,January,34,24,81,562,"3,253"
flour,packet,2020,January,34,24,81,562,"4,092"
Maize,-,2020,January,34,24,81,562,"1,989"
Kalai,mash,2020,January,34,24,81,562,7020
Kalai,mashur,2020,January,34,24,81,562,6572
Kalai,mug,2020,January,34,24,81,562,8447
Kalai,Chola,2020,January,34,24,81,562,6706
Kalai,,2020,January,34,24,81,562,January
Kalai,Motor local,2020,January,34,24,81,562,3436
Kalai,Motor foreign,2020,January,34,24,81,562,3436
Kalai,kheshari,2020,January,34,24,81,562,4492
Dal,Mash gota,2020,January,34,24,81,562,9169
Dal,Broken,2020,January,34,24,81,562,9120
Dal,Mashur local gota,2020,January,34,24,81,562,9950
Dal,Mashur broken,2020,January,34,24,81,562,7044
Dal,Mashur foreign,2020,January,34,24,81,562,8670
Dal,Mug local,2020,January,34,24,81,562,12227
Dal,Chola gota,2020,January,34,24,81,562,7524
Dal,Chola broken,2020,January,34,24,81,562,7335
Dal,Motor local,2020,January,34,24,81,562,5449
Dal,Motor foreign,2020,January,34,24,81,562,3530
Dal,kheshari,2020,January,34,24,81,562,6301
Oil seed,Mustard,2020,January,34,24,81,562,4973
Oil seed,Tishi,2020,January,34,24,81,562,6120
Oil seed,Til,2020,January,34,24,81,562,6080
Oil seed,Nut,2020,January,34,24,81,562,9453
Oil,Mustard,2020,January,34,24,81,562,12853
Oil,Soyabeen,2020,January,34,24,81,562,8681
Oil,Pulm,2020,January,34,24,81,562,7398
Oil,Ghee (dalda),2020,January,34,24,81,562,8298
Oil,Butter oil,2020,January,34,24,81,562,64000
Oil,Coconut,2020,January,34,24,81,562,22884
khail,Mustard,2020,January,34,24,81,562,3341
khail,Til,2020,January,34,24,81,562,3446
khail,Others,2020,January,34,24,81,562,3503
Spice,Onion local,2020,January,34,24,81,562,10642
Spice,Onion imported,2020,January,34,24,81,562,8593
Spice,Garlic local,2020,January,34,24,81,562,15391
Spice,Garlic imported,2020,January,34,24,81,562,13735
Spice,Chilli dried,2020,January,34,24,81,562,21923
Spice,Green chilli,2020,January,34,24,81,562,4041
Spice,Ginger local,2020,January,34,24,81,562,11853
Spice,Ginger imported,2020,January,34,24,81,562,11825
Spice,Turmeric round,2020,January,34,24,81,562,13333
Spice,Turmeric long,2020,January,34,24,81,562,12811
Spice,Coriander old,2020,January,34,24,81,562,9814
Spice,Coriander new,2020,January,34,24,81,562,10000
Jute,White/tosha top,2020,January,34,24,81,562,"2,825"
Jute,Middle,2020,January,34,24,81,562,"4,438"
Jute,B-botom,2020,January,34,24,81,562,-
Jute,C -bottom,2020,January,34,24,81,562,-
Jute,Cross botom,2020,January,34,24,81,562,-
Jute,,2020,January,34,24,81,562,January
Jute,Smr,2020,January,34,24,81,562,-
Jute,Gor chhat,2020,January,34,24,81,562,-
Jute,Mesta gor chhat,2020,January,34,24,81,562,"4,163"
Cotton,Shimul,2020,January,34,24,81,562,"33,842"
Cotton,carpus,2020,January,34,24,81,562,"14,150"
Tobbaco,Jati heavy,2020,January,34,24,81,562,"10,600"
Tobbaco,Jati Medium,2020,January,34,24,81,562,"8,500"
Tobbaco,Jati general,2020,January,34,24,81,562,"6,600"
Tobbaco,Motihar heavy,2020,January,34,24,81,562,"14,410"
Tobbaco,Motihar medium,2020,January,34,24,81,562,"10,756"
Tobbaco,Moti general,2020,January,34,24,81,562,"7,617"
Tobbaco,Varginia(heat),2020,January,34,24,81,562,-
