Name of Commodity,Variation,Year,Month,Rainfall,Temperature,Humidity,Pesticide,Price
Paddy Aman,Fine,2020,January,34,24,81,4333,"1,994"
Paddy Aman,Medium,2020,January,34,24,81,4333,"1,753"
Paddy Aman,Coarse,2020,January,34,24,81,4333,"1,588"
Paddy Aman,Pajam,2020,January,34,24,81,4333,"2,236"
Paddy Aman,shugandhi,2020,January,34,24,81,4333,"3,988"
Paddy Aus,medium,2020,January,34,24,81,4333,-
Paddy Aus,coarse,2020,January,34,24,81,4333,-
Paddy Aus,pajam,2020,January,34,24,81,4333,-
Paddy Boro,fine,2020,January,34,24,81,4333,"2,342"
Paddy Boro,medium,2020,January,34,24,81,4333,"1,940"
Paddy Boro,coarse,2020,January,34,24,81,4333,"1,648"
Paddy Boro,pajam,2020,January,34,24,81,4333,-
Rice Aman,fine,2020,January,34,24,81,4333,"4,792"
Rice Aman,medium,2020,January,34,24,81,4333,"3,298"
Rice Aman,coarse,2020,January,34,24,81,4333,"2,697"
Rice Aman,pajam,2020,January,34,24,81,4333,"4,551"
Rice Aus,Medium,2020,January,34,24,81,4333,-
Rice Aus,coarse,2020,January,34,24,81,4333,"2,661"
Rice Aus,Pajam,2020,January,34,24,81,4333,-
Rice boro,fine,2020,January,34,24,81,4333,"4,557"
Rice boro,medium,2020,January,34,24,81,4333,"3,474"
Rice boro,coarse,2020,January,34,24,81,4333,"2,663"
Rice boro,pajam,2020,January,34,24,81,4333,"4,580"
Rice OMS,course,2020,January,34,24,81,4333,"2,764"
Aromatic rice,Chinigura,2020,January,34,24,81,4333,"8,873"
Aromatic rice,Kalojira,2020,January,34,24,81,4333,"8,337"
Aromatic rice,kataribhog,2020,January,34,24,81,4333,"6,337"
Wheat local,red,2020,January,34,24,81,4333,"2,486"
Wheat local,white,2020,January,34,24,81,4333,"2,576"
Imported,red,2020,January,34,24,81,4333,"2,750"
Imported,white,2020,January,34,24,81,4333,"2,603"
Ata,loose,2020,January,34,24,81,4333,"2,505"
Ata,Packet,2020,January,34,24,81,4333,"3,010"
flour,loose,2020,January,34,24,81,4333,"3,253"
flour,packet,2020,January,34,24,81,4333,"4,092"
Maize,-,2020,January,34,24,81,4333,"1,989"
Kalai,mash,2020,January,34,24,81,4333,7020
Kalai,mashur,2020,January,34,24,81,4333,6572
Kalai,mug,2020,January,34,24,81,4333,8447
Kalai,Chola,2020,January,34,24,81,4333,6706
Kalai,,2020,January,34,24,81,4333,January
Kalai,Motor local,2020,January,34,24,81,4333,3436
Kalai,Motor foreign,2020,January,34,24,81,4333,3436
Kalai,kheshari,2020,January,34,24,81,4333,4492
Dal,Mash gota,2020,January,34,24,81,4333,9169
Dal,Broken,2020,January,34,24,81,4333,9120
Dal,Mashur local gota,2020,January,34,24,81,4333,9950
Dal,Mashur broken,2020,January,34,24,81,4333,7044
